sample-id;group
A11;Aquiloniella_scabra_1.1
A12;Aquiloniella_scabra_1.2
A13;Aquiloniella_scabra_1.3
A21;Aquiloniella_scabra_2.1
A22;Aquiloniella_scabra_2.2
A23;Aquiloniella_scabra_2.3
A31;Aquiloniella_scabra_3.1
A32;Aquiloniella_scabra_3.2
A33;Aquiloniella_scabra_3.3
P1;Patinella_verrucaria_1
P2;Patinella_verrucaria_2
P3;Patinella_verrucaria_3
R11;Rhamphostomella_bilaminata_1.1
R12;Rhamphostomella_bilaminata_1.2
R13;Rhamphostomella_bilaminata_1.3
R21;Rhamphostomella_bilaminata_2.1
R22;Rhamphostomella_bilaminata_2.2
R23;Rhamphostomella_bilaminata_2.3
R31;Rhamphostomella_bilaminata_3.1
R32;Rhamphostomella_bilaminata_3.2
R33;Rhamphostomella_bilaminata_3.3
S11;Control_Aquiloniella_scabra_1.1
S12;Control_Aquiloniella_scabra_1.2
S13;Control_Aquiloniella_scabra_1.3
S21;Control_Aquiloniella_scabra_2.1
S22;Control_Aquiloniella_scabra_2.2
S23;Control_Aquiloniella_scabra_2.3
S31;Control_Aquiloniella_scabra_3.1
S32;Control_Aquiloniella_scabra_3.2
S33;Control_Aquiloniella_scabra_3.3
V11;Control_Patinella_verrucaria_1
V12;Control_Patinella_verrucaria_1
V13;Control_Patinella_verrucaria_1
V21;Control_Patinella_verrucaria_2
V22;Control_Patinella_verrucaria_2
V23;Control_Patinella_verrucaria_2
V31;Control_Patinella_verrucaria_3
V32;Control_Patinella_verrucaria_3
V33;Control_Patinella_verrucaria_3
B11;Control_Rhamphostomella_bilaminata_1.1
B12;Control_Rhamphostomella_bilaminata_1.2
B13;Control_Rhamphostomella_bilaminata_1.3
B21;Control_Rhamphostomella_bilaminata_2.1
B23;Control_Rhamphostomella_bilaminata_2.3
B31;Control_Rhamphostomella_bilaminata_3.1
B32;Control_Rhamphostomella_bilaminata_3.2
B33;Control_Rhamphostomella_bilaminata_3.3
k1;PCR_control
k2;PCR_control
k3;PCR_control
k4;PCR_control
