"SampleID","Depth","Replicate","Observed","Shannon","Chao1","PD"
"A11",6223,1,474,4.46446979652664,537.420560747664,32.887038153
"A11",6223,2,475,4.45834194035917,566.010526315789,31.881219677
"A11",6223,3,484,4.43422252645808,595,54.688360745
"A11",6223,4,476,4.47484155229558,562.910891089109,45.244722174
"A11",6223,5,498,4.46331735309237,633.84375,34.252007342
"A11",6223,6,486,4.47244422371756,565.857142857143,45.276780826
"A11",6223,7,475,4.48680048327571,559.221052631579,32.993638675
"A11",6223,8,478,4.45299443818562,572.53,46.357973155
"A11",6223,9,502,4.48878965573783,638.066666666667,34.070906316
"A11",6223,10,481,4.47517140987739,578.258064516129,44.268399377
"A11",6223,11,494,4.45315582856114,587.146788990826,46.074187585
"A11",6223,12,485,4.45803983432983,601.063157894737,43.378896954
"A11",6223,13,494,4.46713985360341,582.454545454545,54.819419881
"A11",6223,14,489,4.46789570158687,623.101123595506,33.761752463
"A11",6223,15,501,4.46559382131448,603.902654867257,45.583184946
"A11",6223,16,487,4.48177675108681,595.461538461538,34.216208633
"A11",6223,17,494,4.49522680758671,610.641304347826,44.983228353
"A11",6223,18,485,4.51655846284811,549.514018691589,52.816732114
"A11",6223,19,504,4.49115701327324,634.409090909091,34.566645976
"A11",6223,20,491,4.43060340872576,595.80198019802,55.171267383
"A11",6223,21,478,4.46400682769163,568.585106382979,45.998589584
"A11",6223,22,494,4.43322482166008,600.647058823529,34.355938231
"A11",6223,23,483,4.47592476569877,578.825242718447,34.009101216
"A11",6223,24,495,4.49614539561929,621.735632183908,42.28924119
"A11",6223,25,476,4.48651654533817,559.34375,42.815230257
"A11",6223,26,472,4.43913103671682,554.669902912621,44.901141142
"A11",6223,27,482,4.44569437885662,596.725274725275,33.80326888
"A11",6223,28,478,4.45595405981226,571.16,53.900550435
"A11",6223,29,481,4.46042485676945,597.701149425287,41.628967065
"A11",6223,30,479,4.45092843020511,569.446601941748,32.779938202
"A11",6223,31,481,4.47273817190046,616.705128205128,34.621088578
"A11",6223,32,479,4.46969366700301,588.172043010753,33.701864797
"A11",6223,33,485,4.45021539498177,614.2,41.804984965
"A11",6223,34,481,4.48850986931359,562.642857142857,44.516753
"A11",6223,35,484,4.45843727673216,574.45,32.857633141
"A11",6223,36,482,4.47145614939164,575.247422680412,52.080180072
"A11",6223,37,487,4.44449896362283,638.256097560976,54.79680849
"A11",6223,38,468,4.4433621149423,558.010101010101,32.518259606
"A11",6223,39,488,4.51364910073555,570.227272727273,34.235072492
"A11",6223,40,482,4.44391434428165,600.058139534884,42.507582307
"A11",6223,41,472,4.42130455158515,586.178571428571,54.102834164
"A11",6223,42,485,4.44773506399488,580.484848484848,42.180327769
"A11",6223,43,477,4.46176572023207,585.111111111111,53.049616099
"A11",6223,44,501,4.4792785607869,601.809523809524,34.476557127
"A11",6223,45,493,4.46252776520959,626.875,45.40664199
"A11",6223,46,497,4.45629813207829,625.617021276596,46.409810941
"A11",6223,47,495,4.47769261157501,596.359223300971,43.178479792
"A11",6223,48,496,4.47166286519269,609.670103092784,34.688485799
"A11",6223,49,481,4.47994728895888,564.019801980198,33.537194531
"A11",6223,50,487,4.47322976177364,634.654761904762,34.246761897
"A11",6223,51,494,4.47668466433828,600.247524752475,34.25258675
"A11",6223,52,481,4.47837384080338,598.5,33.371600841
"A11",6223,53,494,4.47401074642419,597.774509803922,46.014121715
"A11",6223,54,507,4.51766150337733,600.560747663551,47.391399279
"A11",6223,55,473,4.4453449613407,568.91,42.556622706
"A11",6223,56,485,4.46203494236003,612.511111111111,33.382724005
"A11",6223,57,486,4.47883843879365,595.172043010753,42.236007845
"A11",6223,58,491,4.46093449374597,590.961165048544,54.33825052
"A11",6223,59,494,4.47449449964797,593.539215686274,42.897839012
"A11",6223,60,483,4.45530848458937,594.063829787234,45.389441051
"A11",6223,61,480,4.48348050500407,563.480392156863,34.00947129
"A11",6223,62,482,4.40113199154557,622,46.039315909
