feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
badeae06f9f02ed7567ab02f37fc1612	SampleType	Sample	-4.02977960929046	0.323234085324643	18	13	1.18095837447887e-09	4.12863047717813e-06
X9be493e9aea5ea556ea35a3ff8fc61c8	SampleType	Sample	8.05705523177242	0.827924456329407	18	11	4.00529136734799e-08	4.66749954008286e-05
a7c0e5b81d8f91d217059d6d45bb4a9c	SampleType	Sample	-3.57150798079833	0.361375014196551	18	14	3.23428884303334e-08	4.66749954008286e-05
X417b908efc21728c97947e2319527752	SampleType	Sample	3.81234240184159	0.473758687573271	18	9	5.13908497514322e-07	0.000449156026827517
X4d833bf0162967d91310d1a93db92ed2	SampleType	Sample	4.7074097452822	0.615835009613266	18	14	9.95947314263392e-07	0.000696366362132964
d23c235f41d3398df2e2f5edbac63604	SampleType	Sample	-3.16963990063522	0.444967467639358	18	12	2.41587017392359e-06	0.00140764702133948
X26b941552eaad9d941eff16910335833	SampleType	Sample	-1.74092020967455	0.250525583052001	18	11	3.27630626756388e-06	0.0016362809587719
X5d0f35ba3e7d0ebce9788d34229f1ade	SampleType	Sample	-3.21487702825244	0.468872097980266	18	9	3.85760948360863e-06	0.00168577534433697
X9879a750c4dcbe94271efc3a64a8dcc6	SampleType	Sample	-2.10783050811357	0.314071808212626	18	11	4.99843949339865e-06	0.00194161605210241
b6b5e5683e22e7ccbc945f50aa1bfb52	SampleType	Sample	-3.83825990362482	0.628920505753179	18	12	1.52585724589699e-05	0.00533439693165587
a86091032bf65639a7bae7d5232f0378	SampleType	Sample	2.88029096727353	0.486721021364433	18	10	2.16473645840759e-05	0.00675622063925125
X992d4d84004e921e2356b0a17d4a66a8	SampleType	Sample	-1.52793139675913	0.259783083691123	18	8	2.31906886930821e-05	0.00675622063925125
X2f5f939a9cb1a84c481d0d730257edfc	SampleType	Sample	2.90972913171226	0.511280530951314	18	8	3.34235365732857e-05	0.00821848548959441
e53d40931998c5c89278f8b7d89112fa	SampleType	Sample	3.42980900923785	0.600570458973593	18	9	3.21668907918198e-05	0.00821848548959441
a2856ec474695516bcc911974ec23ec6	SampleType	Sample	-1.6753719385983	0.295826664519961	18	8	3.52623805331568e-05	0.00821848548959441
ad7cea3f47c9e64cbe5f5544c27fb1c5	SampleType	Sample	-2.94089878276193	0.549712357824028	18	16	6.50855439120869e-05	0.014221191344791
X450b0f9dbaf395de258b2b6c62a5f5aa	SampleType	Sample	4.12189042879559	0.786944024064069	18	10	8.12695827340279e-05	0.0157843589576756
X644e54b8ec5af158bba8bd750443f3aa	SampleType	Sample	-2.6860951101586	0.511635524033416	18	9	7.93264343420283e-05	0.0157843589576756
X9c872286b28ea46be348ce877c3c656d	SampleType	Sample	3.06023476369227	0.591031497726946	18	14	9.16007326439807e-05	0.0160088570124569
X9c7f57129ddb57343abd55a3fa67f442	SampleType	Sample	-3.35618445462915	0.651249516326221	18	9	9.61630426949641e-05	0.0160088570124569
f682ab7ce14f68292ea45a066404b92e	SampleType	Sample	-1.85596383923338	0.356770459272231	18	8	8.72602590942926e-05	0.0160088570124569
X87840ae42f96525d12342d1c69d1461c	SampleType	Sample	3.39973343125756	0.664501949149245	18	9	0.000103603805342039	0.0164635865216258
X93b8f4990bcff13031bb21d0feba9ef1	SampleType	Sample	-2.75885987927918	0.562435823262512	18	8	0.000158522096346403	0.0240953586446533
X56335ac95e507e0bbb08dc360850bfe5	SampleType	Sample	3.51501351237794	0.725601741526461	18	16	0.000179400520679595	0.026132675845661
d350ed02e3e8ac5ff62590f2f6fa3906	SampleType	Sample	-1.75628628885732	0.373394215855425	18	12	0.000239093727353474	0.0334348668331098
X9fdf06c3cb2d32b8b07e5644e95d18ca	SampleType	Sample	2.46248675902981	0.525918803247964	18	10	0.000249770918018566	0.0335845818997271
X60ef3e6936a0df613cd8639cf1d82dd8	SampleType	Sample	2.52672035230465	0.546162409415518	18	8	0.000280175283741232	0.0362775108133091
X495c1bd1608a1dad54d3e2824ce899ef	SampleType	Sample	-2.4019487271049	0.543190797906001	18	7	0.000427347344115914	0.0481937520977172
c99293daaa3f4b14f0ece7cabc5e88fe	SampleType	Sample	-4.23552884545166	0.956811988387409	18	15	0.000423126677820745	0.0481937520977172
X631e1451e27bd0c65644a3c6d9f7b42c	SampleType	Sample	-2.17146710709004	0.48904010997341	18	7	0.000411400406495431	0.0481937520977172
X34425b47892462604276847bccc5adeb	SampleType	Sample	-1.54369948387604	0.346750818559817	18	7	0.000401599179172951	0.0481937520977172
ff3c00a7c251667c047120fba528fc25	SampleType	Sample	-1.76384290226227	0.40550227074929	18	11	0.000496450419868988	0.0525936566018783
b86a8e8151ed7a7539be26190c47ce0c	SampleType	Sample	-2.80722904478429	0.644741658650919	18	10	0.00049206680252851	0.0525936566018783
b28d50f8401c6660191fcf0576c96b5a	SampleType	Sample	-2.9088206554281	0.678408383763128	18	10	0.000564946046866935	0.0564300394241944
X730a41c0b1131e10a7dddb613cf11d51	SampleType	Sample	-1.75332144184446	0.408690081392146	18	8	0.00056214158172468	0.0564300394241944
c814f16ff326fbb584191065487c8abf	SampleType	Sample	1.9800349995887	0.465224469114232	18	8	0.000603477251485962	0.0586043464220812
X8940efad20d6105be9d06b29420046f8	SampleType	Sample	-2.85239668668934	0.684149573808627	18	10	0.000723563140274666	0.068366938875682
ea35e19076b89bd364590d06ab875623	SampleType	Sample	-1.69065077182895	0.414167562023131	18	10	0.000868663258735923	0.0799170198037049
X4c72850cd443f090dd217fc732228e0a	SampleType	Sample	-2.44517940372313	0.6130679586162	18	9	0.00105743687470762	0.0924199828494456
a63518f4179fc9fe25dad386787f15e9	SampleType	Sample	-1.5554104408137	0.389444120744035	18	7	0.00104529229579337	0.0924199828494456
X75bb0a0b7853fefe490cb476018ab14a	SampleType	Sample	-2.6951924107884	0.680427400002418	18	7	0.00112018171545906	0.0955159823718261
X5d10eace291cd6e21a10aa0b539c6675	SampleType	Sample	3.58385883235227	0.918513036414157	18	17	0.00126893772674348	0.105623959349886
X27e997926a556e38007174107ce8d5c1	SampleType	Sample	-2.0053751756062	0.518340806872085	18	9	0.00136022904382836	0.110589784586603
db89d941ee5dc2935674d8799463294d	SampleType	Sample	-2.30244401958856	0.606570124882573	18	9	0.00158659226153667	0.126061966962095
X1b479b5bf21e42e99e4238c1fca02aec	SampleType	Sample	-1.82254261887826	0.483462233319438	18	15	0.00167631905217038	0.127400247964949
e0aa4a8c67cf4588b30e621b6a218c31	SampleType	Sample	-1.07520159573664	0.285065237331729	18	6	0.00166925342360218	0.127400247964949
X8f4c101dad164251d4878936cbc25ece	SampleType	Sample	-1.71251568520123	0.456666038513049	18	10	0.00174761506761421	0.129992814391049
X565f215f8267ea06b8cb664483dfccfb	SampleType	Sample	-2.23959707188333	0.607848332255264	18	12	0.00200714241404824	0.146186872489847
X0e4324eee7005e82de8f34a668a35d53	SampleType	Sample	-2.34379299725699	0.64171455397542	18	7	0.00214783769030241	0.147128366726765
ae6d65029da85c4ac1884b3cd9e27767	SampleType	Sample	-2.52640584071846	0.697454961390697	18	9	0.00228870291292737	0.147128366726765
X9630f9ee63cc0be75cd903690c6ea353	SampleType	Sample	-2.61039941379849	0.720971681796702	18	7	0.00229670766533666	0.147128366726765
X0302b6711c3421fd4463c37658685463	SampleType	Sample	-1.48504495070446	0.406259019183008	18	6	0.00213416929502031	0.147128366726765
a5ce2abe540b5a1f42949458e9f06063	SampleType	Sample	-1.4226880822344	0.38881814706331	18	6	0.00211803635168586	0.147128366726765
be8c43432dd59d95e4ed97d23a751395	SampleType	Sample	-1.16875105299263	0.32312877350572	18	6	0.0023146625200149	0.147128366726765
c596dcbb7695b00a5d89cc56bc325ae3	SampleType	Sample	-1.57586171270325	0.434146518846212	18	6	0.00225286325882713	0.147128366726765
febcdaff68e9e307509a6cf398597260	SampleType	Sample	3.13536640500049	0.873124271649695	18	8	0.00244540246360075	0.15013137149162
X14888fa4df557695367fd95574e2a921	SampleType	Sample	-2.34057942315739	0.651879175088333	18	7	0.00244779410040685	0.15013137149162
X664ddcd6b4bdb13116e4a71964fda54f	SampleType	Sample	1.63792214566933	0.462242063650076	18	12	0.00270378076315052	0.162972716344383
b2c7f912f0c9c47667ab4ecdc1bff415	SampleType	Sample	-1.36021713176395	0.386546986973146	18	6	0.0028476201857642	0.163201314252978
X10dbbe438378754c4dc5e77443b7fac4	SampleType	Sample	-1.13506365446944	0.321676641060635	18	6	0.00278990377840713	0.163201314252978
X2a945663bf660ed3f28afba31164b107	SampleType	Sample	-1.43976239747887	0.408341570595211	18	6	0.00280591020114325	0.163201314252978
X033214354a91af0c2372acdbcddf917a	SampleType	Sample	-2.27033707390104	0.648362930841475	18	12	0.00295326688724989	0.163882873616279
X0348c09cb1ff1cd1e1208e2794eea6c1	SampleType	Sample	-0.953762304917088	0.27210981190494	18	6	0.0029320196851067	0.163882873616279
X2e39714a77fa4eccacec0eacd077218d	SampleType	Sample	-2.35719466277086	0.674627794275652	18	9	0.00300091753703009	0.163925120460268
c39fd6fc4661167fed13f8f1f43e9966	SampleType	Sample	2.07705469511307	0.596179998860348	18	10	0.00306579757065493	0.164892743184764
X0a05ee4d171b0d8a22c44965669531a1	SampleType	Sample	-3.15656396774195	0.914657443247538	18	7	0.00328600962823769	0.16493868250808
