"Species","ASV","BestName","log2FC","FDR_q_value","Mean_abund_host","Mean_abund_control"
"Aquiloniella_scabra","c99293daaa3f4b14f0ece7cabc5e88fe","Genus: Cm1-21",-4.236,0.04819,0.0773140834130229,0.380624750686641
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Genus: Pseudohongiella",-4.03,4.129e-06,0.0123058213056624,0.238515583979446
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Family: Saprospiraceae",-3.838,0.005334,0.0158157477702563,0.400103927877439
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Genus: Woeseia",-3.572,4.667e-05,0.0317915425186865,0.454276335861791
"Aquiloniella_scabra","9c7f57129ddb57343abd55a3fa67f442","Genus: Sva0996_marine_group",-3.356,0.01601,0.000688218220233271,0.0647496788002327
"Aquiloniella_scabra","5d0f35ba3e7d0ebce9788d34229f1ade","Genus: Magnetospira",-3.215,0.001686,0,0.0579480881275165
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Genus: Fulvivirga",-3.17,0.001408,0.0111811510601872,0.152403731611379
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Genus: BD7-8",-2.941,0.01422,0.0853159268444725,0.460184497743206
"Aquiloniella_scabra","93b8f4990bcff13031bb21d0feba9ef1","Family: Cyclobacteriaceae",-2.759,0.0241,0,0.0299468634177817
"Aquiloniella_scabra","644e54b8ec5af158bba8bd750443f3aa","Order: Rhodospirillales",-2.686,0.01578,0,0.0536322030241158
"Aquiloniella_scabra","495c1bd1608a1dad54d3e2824ce899ef","Genus: Candidatus_Nitrosopumilus",-2.402,0.04819,0,0.299527593581136
"Aquiloniella_scabra","631e1451e27bd0c65644a3c6d9f7b42c","Genus: Magnetospira",-2.171,0.04819,0,0.0497385711420876
"Aquiloniella_scabra","9879a750c4dcbe94271efc3a64a8dcc6","Order: Puniceispirillales",-2.108,0.001942,0.00535968599390696,0.0470469401832822
"Aquiloniella_scabra","f682ab7ce14f68292ea45a066404b92e","Genus: Pla3_lineage",-1.856,0.01601,0,0.0234655281503144
"Aquiloniella_scabra","d350ed02e3e8ac5ff62590f2f6fa3906","Family: Kangiellaceae",-1.756,0.03343,0.0318831527432344,0.18448943517897
"Aquiloniella_scabra","26b941552eaad9d941eff16910335833","Family: Rhodobacteraceae",-1.741,0.001636,0.00564342364992771,0.0465372421654977
"Aquiloniella_scabra","a2856ec474695516bcc911974ec23ec6","Genus: DEV007",-1.675,0.008218,0,0.0475397491553778
"Aquiloniella_scabra","34425b47892462604276847bccc5adeb","Genus: NS11-12_marine_group",-1.544,0.04819,0,0.0174645429555619
"Aquiloniella_scabra","992d4d84004e921e2356b0a17d4a66a8","Genus: Pla3_lineage",-1.528,0.006756,0,0.0236687329266969
"Patinella_verrucaria","d3411bbafb4f9e5e06853a662b2ef9be","Genus: Hellea",-7.531,0.000138,0.00389005590566059,2.01876516799758
"Patinella_verrucaria","b98daa18c668f922de33812aade51f0d","Genus: Granulosicoccus",-6.819,0.006616,0.0014061730999086,0.691680610154444
"Patinella_verrucaria","c635e68d37dc732efc7938b2d5938516","Family: Cellvibrionaceae",-6.419,0.001233,0.00155248164190458,0.617021096332057
"Patinella_verrucaria","14f87010b759af5eba30b821ec5adbd7","Genus: Blastopirellula",-5.807,0.02396,0.0391308076191735,3.71608073940161
"Patinella_verrucaria","c6ee8a2dc2752e9ceca077f36476e467","Family: Hyphomonadaceae",-5.356,0.0001025,0.0658999408729967,3.29386848712242
"Patinella_verrucaria","fbcc4b1b852cf931033fb27fbc44e355","Family: Flavobacteriaceae",-5.125,7.944e-06,0.0361603445834119,1.24724277646789
"Patinella_verrucaria","9596c2bc8e8edf429b2f5527e5647ea5","Genus: Amphiplicatus",-5.099,0.0001544,0.0189819942681435,0.824954089929907
"Patinella_verrucaria","a873093c14011b2af25ae42d32316822","Genus: Blastopirellula",-4.903,0.002258,0.00843703859945159,0.701729031566897
