"Species","ASV","BestName","log2FC","FDR_q_value","Mean_abund_host","Mean_abund_control"
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Genus: Candidatus_Endobugula",8.057,4.667e-05,14.6200146843387,0.011970530677526
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Class: Alphaproteobacteria",4.122,0.01578,0.0750837707326766,0.00253929331873327
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Genus: Flavicella",3.812,0.0004492,0.131116319372038,0
"Aquiloniella_scabra","87840ae42f96525d12342d1c69d1461c","Family: Rhodobacteraceae",3.4,0.01646,0.251304906937837,0
"Aquiloniella_scabra","9c872286b28ea46be348ce877c3c656d","Genus: Sphingorhabdus",3.06,0.01601,0.816046997979507,0.0625550581409777
"Patinella_verrucaria","1a04461b51bc23b48c24529fbdb95d2b","Genus: Sulfitobacter",8.278,5.087e-07,21.3739566500152,0.0347216000605239
"Patinella_verrucaria","a634a2821a34209d91ff6a23afaf0749","Genus: Yoonia-Loktanella",7.303,9.572e-09,6.83660003492492,0.0087600367125175
"Patinella_verrucaria","db30bfa14b0cd36a31d9d1bd5aae464f","Genus: Anderseniella",5.902,4.516e-07,0.348200027143227,0.00112517580872011
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Class: Alphaproteobacteria",5.693,0.0002423,0.24916755831426,0.0020464236702105
"Patinella_verrucaria","bbaa49db59da4b9d9c05ca4a337866f3","Family: Rhodobacteraceae",5.332,0.03697,4.71402263445445,0.0125925527742439
"Patinella_verrucaria","54b2938845517c66a88daab1b15b06a8","Family: Devosiaceae",4.949,0.03382,0.494485672639425,0.000537547707359028
"Patinella_verrucaria","c400bb9ef12cb34392453dd557713e2b","Genus: Blastopirellula",4.246,0.0003152,0.33172678320547,0.0127120078203237
"Patinella_verrucaria","2bbe9ffa11b7f8f8f39949efd572622e","Genus: Ilumatobacter",4.147,0.007666,0.142447445128891,0
"Patinella_verrucaria","dc0c1382289972508f62c1eb392febda","Class: Alphaproteobacteria",3.899,0.01237,1.6837855608431,0.156043016568943
"Patinella_verrucaria","0cc9c55d721f5f3d43ec8bc2fe132d0e","Genus: Marimicrobium",3.838,0.0005575,0.418042680107705,0.0294461870586006
"Patinella_verrucaria","c30cad9fcfd8f81ab1ad5e4fd7791450","Family: Cyclobacteriaceae",3.641,0.01734,0.111260642394604,0.00692215452820465
"Patinella_verrucaria","8cff7bc3fb5f7586f26e4837583cb108","Genus: OM60(NOR5)_clade",3.484,0.003499,0.54320409924263,0.0602257115437734
"Patinella_verrucaria","c8487b182705eaad35c8578b81969d20","Family: Rhodobacteraceae",3.331,0.02401,0.214074092582525,0.0272690112682774
"Patinella_verrucaria","58c4c519152238addd28ad789a0e3adc","Family: Flavobacteriaceae",3.297,0.001409,0.986396275172996,0.0147327890165067
"Patinella_verrucaria","3e654b6a2f5c3f012508e5170d99c6e7","Order: Rhizobiales",2.88,0.000191,0.773441388574077,0.0476652026602299
"Patinella_verrucaria","450b0f9dbaf395de258b2b6c62a5f5aa","Class: Alphaproteobacteria",2.328,0.0008521,0.247267440095486,0
"Patinella_verrucaria","61ed6ce1622d7abc236fcb34e383b9df","Class: Alphaproteobacteria",2.141,0.002142,0.0655522029041478,0
"Patinella_verrucaria","c0cbc7be02ab7ab71ae694861accc33d","Genus: Sulfitobacter",2.055,0.01352,0.234703288497716,0.027079442596694
"Patinella_verrucaria","8bc8a577f444654080e1cbbcbf3624df","Family: Cellvibrionaceae",1.998,0.01352,0.107792907188296,0
"Patinella_verrucaria","dd4288754e567d2598eb7d479a0c1051","Genus: Gimesia",1.953,0.0003687,0.163801743617453,0
"Patinella_verrucaria","2b72428ebbcbfc529a8aecf2ea37157c","Genus: PeM15",1.897,0.0002991,0.0169419527912957,0
"Patinella_verrucaria","c3ff5c573fb0e919a4b6e39d5db06dd8","Order: SAR11_clade",1.757,0.0001025,0.0438254843750244,0
"Patinella_verrucaria","382df3e0baaef58683f1815a6dd0082f","Family: Isosphaeraceae",1.741,0.00249,0.0369575323441133,0
"Patinella_verrucaria","ac4ac274d280050de041eaa56cbe3c92","Genus: Blastopirellula",1.74,0.0001025,0.0671211548893619,0
"Patinella_verrucaria","51072144763d6f2480df1cad15babda4","Genus: Octadecabacter",1.739,9.899e-05,0.111656103168108,0
"Patinella_verrucaria","cff90739aec43855cf9b4c0c5a7fb2b1","Kingdom: Eukaryota",1.7,0.0005865,0.0118899935056649,0
"Patinella_verrucaria","5234d703355574c2c5651a4064ff536f","Family: Rhodobacteraceae",1.695,0.005546,0.180710822104822,0
"Patinella_verrucaria","9910b78ecfcab8367a1b3ae162fb4cee","Family: Isosphaeraceae",1.619,5.605e-05,0.0261303491739677,0
"Patinella_verrucaria","1263b941de1a0c2fb61d10f6b7e273da","Family: Flavobacteriaceae",1.619,0.04345,0.0202418588260561,0.00115254510773415
"Patinella_verrucaria","8c98595b50153db05b95a7c15b260525","Genus: Persicirhabdus",1.509,3.634e-05,0.109733990204019,0
"Patinella_verrucaria","578cabc2ffdc8324871bfe6fcb86c8a9","Family: Pirellulaceae",1.488,3.868e-05,0.0404637503172965,0
"Patinella_verrucaria","d201cbacd1c567ff782a4fefb0caf09b","Family: Pirellulaceae",1.487,0.0003687,0.0282452934175665,0
"Patinella_verrucaria","be3cb677392518f2eb047d5691a05c87","Genus: Rubripirellula",1.471,2.598e-05,0.324105801026373,0
"Patinella_verrucaria","13bfbe035d4afd772a36eb36a3175948","Genus: Synechococcus_CC9902",1.405,0.0003533,0.0836184213301462,0
"Patinella_verrucaria","f053778ac11218db2855b879731e41f6","Family: Rhodobacteraceae",1.37,0.0001232,0.0627505663231167,0
"Patinella_verrucaria","fe67011d87678cd172e2f7de022b664f","Family: Diplorickettsiaceae",1.353,7.944e-06,0.0167619094106687,0
"Patinella_verrucaria","729833d6acec1576dda09a91d2cb8922","Genus: Filomicrobium",1.276,2.598e-05,0.0719279994334473,0
"Patinella_verrucaria","9cf24ad9887eff6ca510f3629e38c25a","Family: Pirellulaceae",1.268,4.135e-05,0.0430872013355876,0
"Patinella_verrucaria","0f067d3b0fcbcbb517d57a849a9928db","Family: Pirellulaceae",1.251,1.518e-05,0.197145079951686,0
"Patinella_verrucaria","af0734d13d54fc12a56ffe1cea938f3b","Genus: PS1_clade",1.239,0.03452,0.0784756471111604,0.0101536789167816
"Patinella_verrucaria","a4dd6d542fe6ec39d993a15f5526adba","Genus: Yoonia-Loktanella",1.174,5.167e-08,7.59420795121221,0
"Patinella_verrucaria","04db8fa0f286c42335556af597b5c346","Family: Gimesiaceae",1.154,1.224e-07,0.0238925607146947,0
"Patinella_verrucaria","7de5958338db62682325c264856a10fd","Genus: OM190",1.082,0.04734,0.0464951712859269,0
"Patinella_verrucaria","8cf2d6c9fedeb3cb3dbd20d6d82eabc3","Genus: Sva0996_marine_group",1.059,0.04537,0.0278430591232589,0
"Patinella_verrucaria","6c04fda77ffab719b8fc0280eee58e6b","Family: Pirellulaceae",1.041,0.04401,0.0136657979277587,0
"Patinella_verrucaria","b78e9c4260d66a65c87ac5435c0f8d25","Genus: Pseudahrensia",1.006,0.04132,0.0346376616821555,0
"Patinella_verrucaria","6efcd9846560ff414ec2d5d259c0ec88","Genus: Synechococcus_CC9902",0.98,0.03902,0.0604902931424554,0
"Patinella_verrucaria","68262884f1021c896f8e1bf7348d773c","Genus: Flavobacterium",0.977,0.03902,0.00793457939418433,0
"Patinella_verrucaria","3f07c5798efd8deb6095045db89ee137","Phylum: Desulfobacterota",0.958,0.03821,0.0139072634162228,0
"Patinella_verrucaria","80380f29e51d9ff29653a529d29d3fc4","Genus: Candidatus_Megaira",0.95,0.03767,0.0371877477153346,0
"Patinella_verrucaria","6444657c0f5e7317624f71dc68a429f0","Genus: DEV007",0.88,0.03249,0.0199882981987419,0
"Patinella_verrucaria","117e2ebeb25f17a7989fa76a7863d66d","Genus: Arenicella",0.848,0.03079,0.0398326861718315,0
"Patinella_verrucaria","1cb3558d8e931cbfe4138dc6111e0892","Genus: Fuerstia",0.823,0.02905,0.0113559109332087,0
"Patinella_verrucaria","6443898054518f4a3520abd88ae8a640","Class: Actinobacteria",0.804,0.02835,0.0107508616919843,0
"Patinella_verrucaria","acbdfc14c6d9f647954eeab899f2b241","Genus: Reyranella",0.795,0.02791,0.0164781441275758,0
"Patinella_verrucaria","8fc2ef4e56ee8777d7789d081106895a","Genus: NS4_marine_group",0.792,0.02791,0.00875129538322464,0
"Patinella_verrucaria","1f582b58a39968c91ff3f3c2d6405e01","Family: Simkaniaceae",0.763,0.02643,0.00840723985880335,0
"Patinella_verrucaria","a46c68ade453c5b8cdc418a30ff62c46","Genus: Sphingorhabdus",0.757,0.02643,0.0323839942476249,0
"Patinella_verrucaria","46a7475bfbd3a0d1254bcf3bf02c594a","Genus: HOC36",0.737,0.02596,0.0106261928497694,0
"Patinella_verrucaria","4d5ea57ba7338b0aca057fb93a24b82b","Genus: Blastopirellula",0.735,0.02596,0.0348311857216965,0
"Patinella_verrucaria","5fa1f70939d54c077ed7e04f0e76c3ee","Family: Rhodobacteraceae",0.691,0.02596,0.0496266899724335,0
"Patinella_verrucaria","de91d86ca4553fad5b571cab4bc0c643","Genus: UBA12409",0.672,0.02596,0.00661540419987676,0
"Rhamphostomella_bilaminata","811b45d386b7b6dd81665a0bac6761d6","Class: Gammaproteobacteria",4.845,0.008049,5.83966796639844,0.153624808466949
"Rhamphostomella_bilaminata","e6801e54dd3a2654fc19dab0af47c35c","Family: Rhizobiaceae",4.485,6.418e-07,2.56331142486093,0.11500447358841
"Rhamphostomella_bilaminata","9c872286b28ea46be348ce877c3c656d","Genus: Sphingorhabdus",4.485,1.398e-06,1.24412614446826,0.0474755794987165
"Rhamphostomella_bilaminata","c50b0835bf381d4453071f135ed88b39","Genus: Methylotenera",4.146,3.269e-07,0.608989721252725,0.00664606803567308
"Rhamphostomella_bilaminata","36fa32bf1591f6e26e457bdd4c882661","Genus: Sneathiella",3.913,0.003297,0.373614739338294,0.0265511192236201
"Rhamphostomella_bilaminata","44cc17826fd7cbbd611d6ba70982a3e9","Genus: Candidatus_Endobugula",3.645,0.002081,0.497509656264937,0.0417517754886846
"Rhamphostomella_bilaminata","10821628e3e458fde4ded1a39c3926af","Genus: Lentisphaera",3.568,0.0009783,0.103167238905149,0.00231231605782907
"Rhamphostomella_bilaminata","54bc24af2573a5765ab4ee324d1d63be","Family: Rhodobacteraceae",2.556,0.02451,0.145384094337747,0.0152480552577637
