"Sample_ID","Host_Species","Sample_Type","Total_Endobugula_Reads"
"V21","Patinella_verrucaria","Environmental_control",7
"V11","Patinella_verrucaria","Environmental_control",15
"B11","Rhamphostomella_bilaminata","Environmental_control",17
"S23","Aquiloniella_scabra","Environmental_control",17
"S13","Aquiloniella_scabra","Environmental_control",20
"S33","Aquiloniella_scabra","Environmental_control",20
"S11","Aquiloniella_scabra","Environmental_control",25
"B32","Rhamphostomella_bilaminata","Environmental_control",31
"S32","Aquiloniella_scabra","Environmental_control",39
"S31","Aquiloniella_scabra","Environmental_control",48
"B23","Rhamphostomella_bilaminata","Environmental_control",49
"S12","Aquiloniella_scabra","Environmental_control",76
"B12","Rhamphostomella_bilaminata","Environmental_control",77
"B33","Rhamphostomella_bilaminata","Environmental_control",114
"B21","Rhamphostomella_bilaminata","Environmental_control",290
"B31","Rhamphostomella_bilaminata","Environmental_control",328
"P1","Patinella_verrucaria","Sample",9
"R23","Rhamphostomella_bilaminata","Sample",102
"R22","Rhamphostomella_bilaminata","Sample",125
"R11","Rhamphostomella_bilaminata","Sample",135
"R12","Rhamphostomella_bilaminata","Sample",146
"R21","Rhamphostomella_bilaminata","Sample",160
"A21","Aquiloniella_scabra","Sample",195
"R32","Rhamphostomella_bilaminata","Sample",195
"R13","Rhamphostomella_bilaminata","Sample",200
"A22","Aquiloniella_scabra","Sample",281
"R31","Rhamphostomella_bilaminata","Sample",287
"A23","Aquiloniella_scabra","Sample",586
"R33","Rhamphostomella_bilaminata","Sample",1508
"A31","Aquiloniella_scabra","Sample",5458
"A11","Aquiloniella_scabra","Sample",9687
"A33","Aquiloniella_scabra","Sample",11666
"A32","Aquiloniella_scabra","Sample",14018
"A13","Aquiloniella_scabra","Sample",15494
"A12","Aquiloniella_scabra","Sample",23324
