"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName"
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella",-4.03,"1.175e-09","4.110e-06","Enriched in Control","Genus: Pseudohongiella"
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Candidatus_Endobugula",8.056,"4.005e-08","4.668e-05","Enriched in Sample","Genus: Candidatus_Endobugula"
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",-3.572,"3.228e-08","4.668e-05","Enriched in Control","Genus: Woeseia"
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavicella",3.812,"5.136e-07","4.490e-04","Enriched in Sample","Genus: Flavicella"
"Aquiloniella_scabra","4d833bf0162967d91310d1a93db92ed2","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",4.707,"9.982e-07","6.982e-04","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fulvivirga",-3.171,"2.413e-06","1.406e-03","Enriched in Control","Genus: Fulvivirga"
"Aquiloniella_scabra","26b941552eaad9d941eff16910335833","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,-1.741,"3.275e-06","1.636e-03","Enriched in Control","Family: Rhodobacteraceae"
"Aquiloniella_scabra","5d0f35ba3e7d0ebce9788d34229f1ade","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira",-3.215,"3.858e-06","1.686e-03","Enriched in Control","Genus: Magnetospira"
"Aquiloniella_scabra","9879a750c4dcbe94271efc3a64a8dcc6","Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales",NA,NA,-2.11,"4.974e-06","1.933e-03","Enriched in Control","Order: Puniceispirillales"
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,-3.838,"1.524e-05","5.329e-03","Enriched in Control","Family: Saprospiraceae"
"Aquiloniella_scabra","992d4d84004e921e2356b0a17d4a66a8","Bacteria","Planctomycetota","Pla3_lineage","Pla3_lineage","Pla3_lineage","Pla3_lineage",-1.528,"2.319e-05","6.758e-03","Enriched in Control","Genus: Pla3_lineage"
"Aquiloniella_scabra","a86091032bf65639a7bae7d5232f0378","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",2.88,"2.169e-05","6.758e-03","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","2f5f939a9cb1a84c481d0d730257edfc","Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast","Chloroplast",2.909,"3.345e-05","8.221e-03","Enriched in Sample","Genus: Chloroplast"
"Aquiloniella_scabra","a2856ec474695516bcc911974ec23ec6","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","DEV007","DEV007",-1.675,"3.526e-05","8.221e-03","Enriched in Control","Genus: DEV007"
"Aquiloniella_scabra","e53d40931998c5c89278f8b7d89112fa","Bacteria",NA,NA,NA,NA,NA,3.429,"3.217e-05","8.221e-03","Enriched in Sample","Kingdom: Bacteria"
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8","BD7-8","BD7-8",-2.941,"6.480e-05","1.416e-02","Enriched in Control","Genus: BD7-8"
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,4.121,"8.134e-05","1.580e-02","Enriched in Sample","Class: Alphaproteobacteria"
"Aquiloniella_scabra","644e54b8ec5af158bba8bd750443f3aa","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,-2.686,"7.933e-05","1.580e-02","Enriched in Control","Order: Rhodospirillales"
"Aquiloniella_scabra","9c7f57129ddb57343abd55a3fa67f442","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",-3.357,"9.610e-05","1.600e-02","Enriched in Control","Genus: Sva0996_marine_group"
