feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
badeae06f9f02ed7567ab02f37fc1612	SampleType	Sample	-4.03031717956188	0.32316822125921	18	13	1.17516330891158e-09	4.10954609126381e-06
X9be493e9aea5ea556ea35a3ff8fc61c8	SampleType	Sample	8.05645842550243	0.827857255925411	18	11	4.00489880552417e-08	4.66837704097268e-05
a7c0e5b81d8f91d217059d6d45bb4a9c	SampleType	Sample	-3.57169888432779	0.361347438358799	18	14	3.22847242438102e-08	4.66837704097268e-05
X417b908efc21728c97947e2319527752	SampleType	Sample	3.81185230773119	0.473676014453421	18	9	5.13601506315929e-07	0.000449016116896701
X4d833bf0162967d91310d1a93db92ed2	SampleType	Sample	4.70681293901221	0.615866888236574	18	14	9.98216578159257e-07	0.000698152674764585
d23c235f41d3398df2e2f5edbac63604	SampleType	Sample	-3.17060996110845	0.445061348545505	18	12	2.41303126798505e-06	0.00140639505735729
X26b941552eaad9d941eff16910335833	SampleType	Sample	-1.74101506492751	0.250532357851325	18	11	3.27520660695705e-06	0.00163619964350411
X5d0f35ba3e7d0ebce9788d34229f1ade	SampleType	Sample	-3.21487702825244	0.468872097980266	18	9	3.85760948360863e-06	0.00168625754552242
X9879a750c4dcbe94271efc3a64a8dcc6	SampleType	Sample	-2.10981775954909	0.314242460721315	18	11	4.97449004761052e-06	0.00193286574405489
b6b5e5683e22e7ccbc945f50aa1bfb52	SampleType	Sample	-3.83838318863406	0.628871630379047	18	12	1.52393956883819e-05	0.00532921667222714
a86091032bf65639a7bae7d5232f0378	SampleType	Sample	2.87974120873141	0.48670345904192	18	10	2.16850959126239e-05	0.00675815319664235
X992d4d84004e921e2356b0a17d4a66a8	SampleType	Sample	-1.52793139675913	0.259783083691123	18	8	2.31906886930821e-05	0.00675815319664235
X2f5f939a9cb1a84c481d0d730257edfc	SampleType	Sample	2.90917937317014	0.511215954933165	18	8	3.34465572370151e-05	0.00822083631496329
e53d40931998c5c89278f8b7d89112fa	SampleType	Sample	3.42934420186282	0.600499565090955	18	9	3.21730837218931e-05	0.00822083631496329
a2856ec474695516bcc911974ec23ec6	SampleType	Sample	-1.6753719385983	0.295826664519961	18	8	3.52623805331568e-05	0.00822083631496329
ad7cea3f47c9e64cbe5f5544c27fb1c5	SampleType	Sample	-2.94144854130405	0.549583805943873	18	16	6.47967522906902e-05	0.014162140172534
X450b0f9dbaf395de258b2b6c62a5f5aa	SampleType	Sample	4.12134067025346	0.786903554572618	18	10	8.13389971130936e-05	0.0158023596058049
X644e54b8ec5af158bba8bd750443f3aa	SampleType	Sample	-2.6860951101586	0.511635524033416	18	9	7.93264343420283e-05	0.0158023596058049
X9c872286b28ea46be348ce877c3c656d	SampleType	Sample	3.05963795742228	0.591104893455245	18	14	9.19034127090483e-05	0.0160030911203022
X9c7f57129ddb57343abd55a3fa67f442	SampleType	Sample	-3.35655300029698	0.651280176008115	18	9	9.61009189380455e-05	0.0160030911203022
f682ab7ce14f68292ea45a066404b92e	SampleType	Sample	-1.85596383923338	0.356770459272231	18	8	8.72602590942926e-05	0.0160030911203022
X87840ae42f96525d12342d1c69d1461c	SampleType	Sample	3.39955123886388	0.66435914517285	18	9	0.000103432607640751	0.016441083132714
X93b8f4990bcff13031bb21d0feba9ef1	SampleType	Sample	-2.75885987927918	0.562435823262512	18	8	0.000158522096346403	0.0241022509097118
X56335ac95e507e0bbb08dc360850bfe5	SampleType	Sample	3.51441670610794	0.725574925687296	18	16	0.000179635497777561	0.0261743889886721
d350ed02e3e8ac5ff62590f2f6fa3906	SampleType	Sample	-1.75648071530629	0.373362362449376	18	12	0.000238642539839327	0.0333813184727251
X9fdf06c3cb2d32b8b07e5644e95d18ca	SampleType	Sample	2.46193700048768	0.525838761131334	18	10	0.000249941425685778	0.0336171217547371
X60ef3e6936a0df613cd8639cf1d82dd8	SampleType	Sample	2.52641900019197	0.546128021605442	18	8	0.000280325393810432	0.0363073297094474
X495c1bd1608a1dad54d3e2824ce899ef	SampleType	Sample	-2.4019487271049	0.543190797906001	18	7	0.000427347344115914	0.0482075374959145
c99293daaa3f4b14f0ece7cabc5e88fe	SampleType	Sample	-4.23569819866938	0.956761756284235	18	15	0.000422767530122216	0.0482075374959145
X631e1451e27bd0c65644a3c6d9f7b42c	SampleType	Sample	-2.17146710709004	0.48904010997341	18	7	0.000411400406495431	0.0482075374959145
X34425b47892462604276847bccc5adeb	SampleType	Sample	-1.54369948387604	0.346750818559817	18	7	0.000401599179172951	0.0482075374959145
ff3c00a7c251667c047120fba528fc25	SampleType	Sample	-1.76409130869171	0.40533193612948	18	11	0.000493936233797285	0.0523422730178517
b86a8e8151ed7a7539be26190c47ce0c	SampleType	Sample	-2.80722904478429	0.644741658650919	18	10	0.00049206680252851	0.0523422730178517
b28d50f8401c6660191fcf0576c96b5a	SampleType	Sample	-2.90985607579547	0.678497887947293	18	10	0.000563815932970506	0.0563332662170817
X730a41c0b1131e10a7dddb613cf11d51	SampleType	Sample	-1.75332144184446	0.408690081392146	18	8	0.00056214158172468	0.0563332662170817
c814f16ff326fbb584191065487c8abf	SampleType	Sample	1.9794970979532	0.465116213008748	18	8	0.000603686228446777	0.0586414094688439
X8940efad20d6105be9d06b29420046f8	SampleType	Sample	-2.85239668668934	0.684149573808627	18	10	0.000723563140274666	0.0683864946362299
ea35e19076b89bd364590d06ab875623	SampleType	Sample	-1.69078277072391	0.414097191080412	18	10	0.000866819935554525	0.0797702451219519
X4c72850cd443f090dd217fc732228e0a	SampleType	Sample	-2.44529083182575	0.613026919980613	18	9	0.00105643941222284	0.0923592156135822
a63518f4179fc9fe25dad386787f15e9	SampleType	Sample	-1.5554104408137	0.389444120744035	18	7	0.00104529229579337	0.0923592156135822
