"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName"
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Candidatus_Endobugula",8.056,"4.005e-08",4.668e-05,"Enriched in Sample","Genus: Candidatus_Endobugula"
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavicella",3.812,"5.136e-07",0.000449,"Enriched in Sample","Genus: Flavicella"
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,4.121,"8.134e-05",0.0158,"Enriched in Sample","Class: Alphaproteobacteria"
"Aquiloniella_scabra","9c872286b28ea46be348ce877c3c656d","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",3.06,"9.190e-05",0.016,"Enriched in Sample","Genus: Sphingorhabdus"
"Aquiloniella_scabra","87840ae42f96525d12342d1c69d1461c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,3.4,"1.034e-04",0.01644,"Enriched in Sample","Family: Rhodobacteraceae"
"Aquiloniella_scabra","febcdaff68e9e307509a6cf398597260","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,3.135,"2.445e-03",0.1502,"Enriched in Sample","Class: Gammaproteobacteria"
"Aquiloniella_scabra","c39fd6fc4661167fed13f8f1f43e9966","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","Sva0996_marine_group",2.076,"3.068e-03",0.165,"Enriched in Sample","Genus: Sva0996_marine_group"
"Aquiloniella_scabra","db66d87d00a29a7cae7f21e5385cd9e9","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia-Loktanella",1.254,"3.607e-03",0.1712,"Enriched in Sample","Genus: Yoonia-Loktanella"
"Aquiloniella_scabra","d15bc449222795a9ff230013aa633686","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",2.338,"4.658e-03",0.196,"Enriched in Sample","Genus: Acinetobacter"
"Aquiloniella_scabra","169b6455530e3a2dc5bab9634bf5464d","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus",2.306,"5.078e-03",0.2023,"Enriched in Sample","Genus: Granulosicoccus"
