feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
a634a2821a34209d91ff6a23afaf0749	SampleType	Sample	7.3031050544868	0.220093348989049	12	4	1.45913790436852e-11	9.57194465265751e-09
a4dd6d542fe6ec39d993a15f5526adba	SampleType	Sample	1.174172403744	0.045005119940363	12	3	1.5753173901691e-10	5.16704103975464e-08
e53d40931998c5c89278f8b7d89112fa	SampleType	Sample	6.06530261845271	0.256069826045689	12	4	4.08309213277316e-10	8.92836146366398e-08
X04db8fa0f286c42335556af597b5c346	SampleType	Sample	1.15358673726587	0.0517869097873774	12	3	7.46581611244125e-10	1.22439384244036e-07
db30bfa14b0cd36a31d9d1bd5aae464f	SampleType	Sample	5.901769524662	0.309712155250556	12	4	3.44172190780674e-09	4.51553914304244e-07
X1a04461b51bc23b48c24529fbdb95d2b	SampleType	Sample	8.2776383526982	0.448038571855117	12	5	4.6526744720793e-09	5.08692408947337e-07
X6e0546931ed7eab1f41201aabb92be68	SampleType	Sample	4.11856163992827	0.240897865538917	12	4	9.88555260821289e-09	9.26417501569665e-07
X139f25691465fa60e55b064adbdc8f77	SampleType	Sample	1.33096313079053	0.0854754499507486	12	3	2.43998769854723e-08	2.00078991280873e-06
X2f5f939a9cb1a84c481d0d730257edfc	SampleType	Sample	5.36875180568067	0.37937557456778	12	5	6.10999825145181e-08	4.00815885295238e-06
X4d833bf0162967d91310d1a93db92ed2	SampleType	Sample	8.16793170637321	0.572991556329733	12	6	5.69915950451658e-08	4.00815885295238e-06
fbcc4b1b852cf931033fb27fbc44e355	SampleType	Sample	-5.12529791882736	0.395495373337799	12	12	1.41303567333259e-07	7.94431063321932e-06
fe67011d87678cd172e2f7de022b664f	SampleType	Sample	1.353324913089	0.104739095559504	12	3	1.45322755485719e-07	7.94431063321932e-06
X0f067d3b0fcbcbb517d57a849a9928db	SampleType	Sample	1.25113817078891	0.104590289685985	12	3	3.00918410574465e-07	1.51848059489884e-05
X1f9d114e8d3a20c7bb9811eeab731b17	SampleType	Sample	2.42694073313876	0.206379214967556	12	4	3.53294702053815e-07	1.65543803248073e-05
X60ef3e6936a0df613cd8639cf1d82dd8	SampleType	Sample	3.51306771643319	0.30426211390695	12	4	4.19446365063774e-07	1.8343787698789e-05
X729833d6acec1576dda09a91d2cb8922	SampleType	Sample	1.27551621292704	0.115778474933517	12	3	6.49902827613535e-07	2.5977625146724e-05
be3cb677392518f2eb047d5691a05c87	SampleType	Sample	1.4711571695888	0.134043516634723	12	3	6.73200651668153e-07	2.5977625146724e-05
X8c98595b50153db05b95a7c15b260525	SampleType	Sample	1.50912590346147	0.143455269912555	12	3	9.97065157081228e-07	3.63374857247381e-05
X578cabc2ffdc8324871bfe6fcb86c8a9	SampleType	Sample	1.48773644238387	0.143219337091164	12	3	1.12034099558559e-06	3.86812470054814e-05
X19483975848ef1e1f6ba304df2b90196	SampleType	Sample	1.37439190879909	0.133968792530378	12	3	1.25678033512235e-06	4.12223949920132e-05
X9cf24ad9887eff6ca510f3629e38c25a	SampleType	Sample	1.26781558215585	0.124279507114742	12	3	1.32373779867733e-06	4.13510474253488e-05
edace155e4b31c185330bcc89327ce21	SampleType	Sample	1.64307132012138	0.166773355019421	12	3	1.82182077917799e-06	5.43233832336711e-05
X9910b78ecfcab8367a1b3ae162fb4cee	SampleType	Sample	1.6193199374285	0.165730449108534	12	3	1.96512806701988e-06	5.60488700854367e-05
X1bc7e599ad2dbd3c9e8128114addb62e	SampleType	Sample	-4.84407900553409	0.498333141118192	12	10	2.05978808467966e-06	5.63008743145774e-05
X51072144763d6f2480df1cad15babda4	SampleType	Sample	1.73930903301441	0.191281114492832	12	3	3.77254430961737e-06	9.89915626843597e-05
c6ee8a2dc2752e9ceca077f36476e467	SampleType	Sample	-5.35606436815816	0.596639263703033	12	12	4.23409255178875e-06	0.000102535263264978
ac4ac274d280050de041eaa56cbe3c92	SampleType	Sample	1.74016936521386	0.193969939623536	12	3	4.25841824301668e-06	0.000102535263264978
c3ff5c573fb0e919a4b6e39d5db06dd8	SampleType	Sample	1.75740159147643	0.196488151551444	12	3	4.37650513935883e-06	0.000102535263264978
cd595c4d4718f235de7afa8a4fb1d827	SampleType	Sample	5.80098774321492	0.659925023002547	12	5	5.11214109812782e-06	0.000115640157254202
f053778ac11218db2855b879731e41f6	SampleType	Sample	1.37019481168045	0.157580166635017	12	3	5.63440947709622e-06	0.000123205753899171
d3411bbafb4f9e5e06853a662b2ef9be	SampleType	Sample	-7.53123026612316	0.880492962767269	12	10	6.52357340656388e-06	0.000138047230796965
X9596c2bc8e8edf429b2f5527e5647ea5	SampleType	Sample	-5.09886916270733	0.605855291631804	12	11	7.53282286922269e-06	0.000154422868819065
X3e654b6a2f5c3f012508e5170d99c6e7	SampleType	Sample	2.87952319857279	0.351699547255564	12	5	9.60739468350795e-06	0.000190983360981249
X9bd20c6dd9e216eb9c62ab933e134da3	SampleType	Sample	1.53691877028737	0.190715819973946	12	3	1.10441139572531e-05	0.000213086433998765
a30387bf30a75f6ab45d6e8ba3082804	SampleType	Sample	5.69336041358862	0.719928505705287	12	5	1.30252212669168e-05	0.000242291173326832
X6571c42e7d53e6149821aaea40426d89	SampleType	Sample	-2.24052402742381	0.283985038268245	12	10	1.32964668289115e-05	0.000242291173326832
X2b72428ebbcbfc529a8aecf2ea37157c	SampleType	Sample	1.89744065644419	0.247169757517955	12	3	1.68688226934653e-05	0.000299079667213871
c400bb9ef12cb34392453dd557713e2b	SampleType	Sample	4.24587301141913	0.558835139571453	12	5	1.84478361980843e-05	0.000315205454882278
X53b0bf16a3ebf64cb2ca3854a7853e91	SampleType	Sample	1.89085685011529	0.249323540106429	12	3	1.87393486896476e-05	0.000315205454882278
X13bfbe035d4afd772a36eb36a3175948	SampleType	Sample	1.40487205974212	0.188264596422671	12	3	2.15443908507022e-05	0.000353328009951516
dd4288754e567d2598eb7d479a0c1051	SampleType	Sample	1.95258630728134	0.26446213450397	12	3	2.36062373545158e-05	0.000368706945346724
d201cbacd1c567ff782a4fefb0caf09b	SampleType	Sample	1.48734080406705	0.201226214156365	12	3	2.33838754049189e-05	0.000368706945346724
X0cc9c55d721f5f3d43ec8bc2fe132d0e	SampleType	Sample	3.83787558111672	0.547191980537917	12	9	3.65445929866372e-05	0.000557517511610094
cff90739aec43855cf9b4c0c5a7fb2b1	SampleType	Sample	1.69971298726881	0.244464573789918	12	3	3.93378153522549e-05	0.000586491065251801
X450b0f9dbaf395de258b2b6c62a5f5aa	SampleType	Sample	2.32785108769507	0.351045974669022	12	3	5.84522184157784e-05	0.000852103450683347
c635e68d37dc732efc7938b2d5938516	SampleType	Sample	-6.4191934852818	1.0152408510801	12	10	8.64947408105597e-05	0.00123349021677668
X3d2cb4d432637a967953485f20f9eec5	SampleType	Sample	1.59122351803678	0.254124834324746	12	3	9.36325284007006e-05	0.00130687103469914
X58c4c519152238addd28ad789a0e3adc	SampleType	Sample	3.29697652471715	0.532813144367562	12	4	0.000103076295474781	0.00140870937148867
e00f5fdbe342c7e772ef846e7452911e	SampleType	Sample	-6.07099907414452	1.00193794857431	12	10	0.000122100306690285	0.00163464900385362
X6dd9d05b5d7e6b97dc14447e9014958c	SampleType	Sample	-3.53715804743413	0.597302582033993	12	9	0.000146672998445265	0.00192434973960187
X61ed6ce1622d7abc236fcb34e383b9df	SampleType	Sample	2.14105822178313	0.367373943399547	12	3	0.000166499203329759	0.0021416368114573
a873093c14011b2af25ae42d32316822	SampleType	Sample	-4.90290853155767	0.84901127749608	12	10	0.000178988940876834	0.00225801433106159
X382df3e0baaef58683f1815a6dd0082f	SampleType	Sample	1.740769693534	0.305959039569333	12	3	0.000201178003519423	0.00249005226997625
X8cff7bc3fb5f7586f26e4837583cb108	SampleType	Sample	3.48449863604284	0.641450783501211	12	12	0.000287993154860579	0.00349858351089889
X5d10eace291cd6e21a10aa0b539c6675	SampleType	Sample	5.81239045292121	1.07339307661381	12	7	0.00029509939448511	0.00351973095967695
X5234d703355574c2c5651a4064ff536f	SampleType	Sample	1.69454216000577	0.333158492463515	12	3	0.00047340938950177	0.00554565284844931
X7d332824708bd7dd7c7bc731d027d0b5	SampleType	Sample	-2.27704706102656	0.450042058404855	12	12	0.000492246943829944	0.00566515780969198
b98daa18c668f922de33812aade51f0d	SampleType	Sample	-6.81894282910087	1.37964871036028	12	10	0.000584979893264249	0.00661632431002323
X2bbe9ffa11b7f8f8f39949efd572622e	SampleType	Sample	4.14717705308451	0.858231648653666	12	3	0.000689466303607717	0.0076659304265536
b412ae178d00f4610eb08e2c5f1070e2	SampleType	Sample	-3.05667645518648	0.667830576513816	12	9	0.00101525354265019	0.0111001053996421
X5b56a9ab5f7005e998ba28fae84d0e2e	SampleType	Sample	-3.78997678432316	0.841149442933976	12	11	0.0011330626404754	0.0121850670844568
cded164d9fa3074d5c0980e0766a8974	SampleType	Sample	-4.79928614485181	1.06914365850826	12	12	0.00116288025326015	0.012304023324817
dc0c1382289972508f62c1eb392febda	SampleType	Sample	3.89947634085042	0.873336870834891	12	11	0.00120668033450483	0.0123684734286745
baa2303756ad35a4a7942e0e068297c9	SampleType	Sample	-4.27999378273523	0.957705404396388	12	11	0.00119926393682517	0.0123684734286745
X8bc8a577f444654080e1cbbcbf3624df	SampleType	Sample	1.99801897191629	0.454309677047216	12	3	0.0013394009011964	0.0135176460182282
c0cbc7be02ab7ab71ae694861accc33d	SampleType	Sample	2.05537571600177	0.468423908700106	12	6	0.00136061020874109	0.0135236408626387
d6fd1639cbb76c7a57dc45b18c9557c2	SampleType	Sample	-3.10702368129533	0.714213314333459	12	12	0.00144295639001296	0.0141280506246045
X66f407a78d0b08c3681c099ab327c567	SampleType	Sample	-2.76904293565279	0.640999962442225	12	9	0.0015134042907901	0.0145999002170339
e754a39a858b1a95a88af59002c86f11	SampleType	Sample	-2.25293864473109	0.524519332741998	12	12	0.00157316818907224	0.0149564975656723
c30cad9fcfd8f81ab1ad5e4fd7791450	SampleType	Sample	3.64058102165942	0.868300664422009	12	7	0.00184981590617966	0.0173354176350551
X219274e4f902b9dff93071ea70e7b13e	SampleType	Sample	-3.82380967428089	0.918921437900962	12	9	0.00194503467424141	0.017971024595808
f87bfb253d2783c1b609185e1cf2dc94	SampleType	Sample	-3.05387182929269	0.738491305978242	12	11	0.0020270239054921	0.0184684400278169
e37325985104480c096f7fba13267f42	SampleType	Sample	-3.71010802581774	0.902007208924603	12	11	0.0020998875282456	0.0188702221716317
a86091032bf65639a7bae7d5232f0378	SampleType	Sample	3.62130998315577	0.915359415222313	12	10	0.00270318392279091	0.0239633601804167
X14f87010b759af5eba30b821ec5adbd7	SampleType	Sample	-5.80728803469973	1.47099446615218	12	12	0.00273974029021114	0.0239635950717134
c8487b182705eaad35c8578b81969d20	SampleType	Sample	3.33089460945784	0.845728403620748	12	10	0.00278166508472125	0.0240101617839098
X1bd64880dd9696b130cbe87fcc4e86e5	SampleType	Sample	0.719725521201607	0.187341141949226	12	2	0.00325555147943561	0.0259625878025966
X4d5ea57ba7338b0aca057fb93a24b82b	SampleType	Sample	0.735131956230341	0.192263964503001	12	2	0.00335400442929346	0.0259625878025966
X46a7475bfbd3a0d1254bcf3bf02c594a	SampleType	Sample	0.736547210195934	0.192726345533289	12	2	0.00336405482198279	0.0259625878025966
c344c6c584c663a222c735d50eabb47d	SampleType	Sample	0.715140376474669	0.185916622834358	12	2	0.00323027914012388	0.0259625878025966
bb23a9ce44ee3a69cccad6ae72107707	SampleType	Sample	0.71289163064586	0.185225037711708	12	2	0.00321858890720483	0.0259625878025966
X5fa1f70939d54c077ed7e04f0e76c3ee	SampleType	Sample	0.690728579076746	0.178669694658399	12	2	0.00312973455785161	0.0259625878025966
f52cc1224cac807cd42d9a901ed53c9b	SampleType	Sample	0.735131956230345	0.192263964503001	12	2	0.00335400442929335	0.0259625878025966
de91d86ca4553fad5b571cab4bc0c643	SampleType	Sample	0.672332184215138	0.173613912691115	12	2	0.00309616620121182	0.0259625878025966
b6952b03ca6350f94d72b0d823b64a9d	SampleType	Sample	0.685879512380917	0.177301646133589	12	2	0.00311711034445717	0.0259625878025966
a46c68ade453c5b8cdc418a30ff62c46	SampleType	Sample	0.757313807600349	0.199695587609491	12	2	0.00352981654895169	0.0264333855142975
X1f582b58a39968c91ff3f3c2d6405e01	SampleType	Sample	0.76251275928402	0.201491956577425	12	2	0.00357645260812412	0.0264333855142975
X01c071fe83cce6cf3f04cb51a16f6cf9	SampleType	Sample	0.762512759284022	0.201491956577425	12	2	0.00357645260812406	0.0264333855142975
X47ceef7ab8b6e541e8f6a8bf3ed20799	SampleType	Sample	0.763576343657481	0.201861881671062	12	2	0.00358623675422634	0.0264333855142975
X8fc2ef4e56ee8777d7789d081106895a	SampleType	Sample	0.79177362337778	0.211952938570388	12	2	0.00387441903856262	0.0279117925631103
acbdfc14c6d9f647954eeab899f2b241	SampleType	Sample	0.795322704777617	0.213259674757014	12	2	0.00391445871311912	0.0279117925631103
X80cc08cc4b6e2dabff05acd656a1ebd7	SampleType	Sample	0.793549227414514	0.21260572726622	12	2	0.00389434951209785	0.0279117925631103
X6443898054518f4a3520abd88ae8a640	SampleType	Sample	0.804300480096331	0.216599240084968	12	2	0.0040193165653836	0.0283513082461467
X2c7168ee385176ea4961facb24c63cad	SampleType	Sample	0.809262763342495	0.21846542983491	12	2	0.00407942692771485	0.028469192176393
e86aff9d83cae9a0a12ce9418a82f731	SampleType	Sample	-2.83569413333959	0.767935326819239	12	9	0.00415881730740268	0.0287177279332227
X1cb3558d8e931cbfe4138dc6111e0892	SampleType	Sample	0.822810091508272	0.22363046215452	12	2	0.004251085954864	0.0290490873582374
X577ab2fd63927a467fc472aa93939c74	SampleType	Sample	-3.14017431654495	0.863750463105464	12	12	0.00457064458201022	0.0307863707671741
X117e2ebeb25f17a7989fa76a7863d66d	SampleType	Sample	0.848065927380929	0.233514152682805	12	2	0.00459918343777906	0.0307863707671741
X2961c3455232ab30a84561187990fda7	SampleType	Sample	-2.94911727806793	0.820487248710015	12	9	0.00489361879314733	0.0321021392830465
