feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ed962067f3d3472675d24f92d6dda3b0	SampleType	Sample	-6.21333467053869	0.263419640337948	17	9	2.85517423533325e-13	6.93236304338914e-10
X06dbffb3667d421322f3cdc067c1bb95	SampleType	Sample	-6.47942411178029	0.421837298892858	17	15	1.38828079098671e-10	8.42686440128935e-08
X1d52609177ce303a019c3ee3f9142239	SampleType	Sample	-4.37745937725087	0.283418653377692	17	9	1.28369231474269e-10	8.42686440128935e-08
X0f46c35d6629feaffa5e8f4b256e255b	SampleType	Sample	-4.8493899934253	0.301858503530068	17	9	7.34298914670191e-11	8.42686440128935e-08
c50b0835bf381d4453071f135ed88b39	SampleType	Sample	4.14596115115108	0.302009055696453	17	10	6.73644293244075e-10	3.27121668799323e-07
e6801e54dd3a2654fc19dab0af47c35c	SampleType	Sample	4.48561819984511	0.347379419903838	17	16	1.5773332738641e-09	6.38294198157005e-07
X01b65b807c4e7fdf80dc247b058c652b	SampleType	Sample	-4.2281646320659	0.347620969384638	17	14	3.59343033919952e-09	1.24640698051092e-06
X9c872286b28ea46be348ce877c3c656d	SampleType	Sample	4.48545202418061	0.37551617813579	17	14	4.60396774666842e-09	1.39730421111386e-06
e3bd4c321c5364d01871ebb503a1dc7e	SampleType	Sample	-4.51584700074157	0.41540020416732	17	17	1.6474141494636e-08	3.99992155489762e-06
X2f5f939a9cb1a84c481d0d730257edfc	SampleType	Sample	3.86992025116707	0.354793046145618	17	11	1.5750496094361e-08	3.99992155489762e-06
X5d10eace291cd6e21a10aa0b539c6675	SampleType	Sample	4.36415501137351	0.438976155924427	17	13	5.39641301161753e-08	1.1911355265643e-05
X2b6e42bf9200244b950fdda2491dd4ca	SampleType	Sample	-2.9232340729012	0.338660418244459	17	8	3.33599020508101e-07	6.74982018161391e-05
f690e76a3de3a7b1cd99d01daef0d027	SampleType	Sample	-2.90561011580735	0.347286448848255	17	9	4.9377364940021e-07	9.22217246725931e-05
X11b7c459db9e25981b9e929a8098b1d9	SampleType	Sample	-2.48268862685394	0.300493782006844	17	9	5.77696886622951e-07	0.000100189145765752
dc186c356120425c8b044a49772944c6	SampleType	Sample	-3.72287644976956	0.474958539890688	17	11	1.10625903938661e-06	0.000174269376780184
X2c674dd5dcc493fc0bad82c12f46397e	SampleType	Sample	-1.83685028077753	0.235060453131364	17	8	1.14839787005064e-06	0.000174269376780184
X6e0546931ed7eab1f41201aabb92be68	SampleType	Sample	3.24847092916679	0.424111404053589	17	10	1.46515595270283e-06	0.000187231508061182
X0ba0d4c5a289facc80e0e481377a9e18	SampleType	Sample	-2.62834045292114	0.342839342918941	17	8	1.44921361891294e-06	0.000187231508061182
X3c0deb5ca627c2080a4a80c7d89c6096	SampleType	Sample	-2.41659360234785	0.313417173625247	17	8	1.35179087001677e-06	0.000187231508061182
dee7e9e6328e4af5e481f88a1f796b2a	SampleType	Sample	-3.14242553179197	0.442436005363128	17	8	3.60921650247186e-06	0.000438158883400084
X7d372fe772be67fbd518123f6300b372	SampleType	Sample	-3.49189881351808	0.506549153068194	17	16	5.11675979252477e-06	0.00059159489410715
X4d833bf0162967d91310d1a93db92ed2	SampleType	Sample	4.48296297526576	0.684862740593949	17	10	9.2647466705152e-06	0.0009780349963483
X10821628e3e458fde4ded1a39c3926af	SampleType	Sample	3.56803993167779	0.543720424957903	17	11	9.00423053233523e-06	0.0009780349963483
b5cd41c77bc4eb8356b15ed52bb1cf5d	SampleType	Sample	-3.25962939360595	0.505732387454339	17	16	1.10314700055046e-05	0.00111601704889022
cf2752910266aa9986d441f815389f2c	SampleType	Sample	-3.86165425425943	0.638562540376513	17	15	2.23331336711678e-05	0.00208557109821521
X44cc17826fd7cbbd611d6ba70982a3e9	SampleType	Sample	3.64519261437643	0.601125605482757	17	11	2.16789942810751e-05	0.00208557109821521
f7460ef647b461ee5ad49fbeb5705652	SampleType	Sample	-3.69957399215451	0.618716180543483	17	15	2.52478717664138e-05	0.00227043824625381
f716fb59c9bee1b0c02ad64865f0de70	SampleType	Sample	-3.09682892877924	0.525353880690762	17	8	2.94427105477419e-05	0.00255310361463991
X46be24de915fbc76ac5ab88523cb7235	SampleType	Sample	-2.5101848358807	0.427744586796945	17	11	3.08899640411149e-05	0.002586235610063
d9f3cd010e62ed14267428e00eb063af	SampleType	Sample	-1.80197487937656	0.310041860673529	17	7	3.42439411705923e-05	0.0027714763054066
X36fa32bf1591f6e26e457bdd4c882661	SampleType	Sample	3.91339658310648	0.688657808103725	17	13	4.34539565124798e-05	0.0032970689503844
e02ad2cc899cc62e9a5df522a8e3c451	SampleType	Sample	-3.76932961549027	0.661692296057796	17	8	4.23550212510557e-05	0.0032970689503844
X4bdc1afca33aabf7e6ffccfb3989baba	SampleType	Sample	-3.02236576171526	0.548908882928001	17	8	6.03561310745365e-05	0.00444074806815075
d3a60d931aed828666a7818a3da0ee38	SampleType	Sample	-2.51511032257786	0.466386004194235	17	10	7.46995609590103e-05	0.00533442747083756
X450b0f9dbaf395de258b2b6c62a5f5aa	SampleType	Sample	2.41293034333625	0.464249985953203	17	8	0.000108274192796968	0.00751113543174394
X811b45d386b7b6dd81665a0bac6761d6	SampleType	Sample	4.84572919455176	0.944642013603552	17	17	0.000123302481681698	0.00804839705937808
X29d249d9deca741ac3ed4eea1e7819ff	SampleType	Sample	-1.47841916462976	0.28883310830846	17	7	0.00012596338066572	0.00804839705937808
X495eb06d2fa84bc70027d6a048f86977	SampleType	Sample	-4.40557266208839	0.8566006044926	17	9	0.000120171537304054	0.00804839705937808
X19483975848ef1e1f6ba304df2b90196	SampleType	Sample	3.69095265809736	0.735182821060114	17	10	0.000152218913562078	0.00947660313150575
a86091032bf65639a7bae7d5232f0378	SampleType	Sample	2.2832562445125	0.458172822647054	17	10	0.000163550642596741	0.00992752400562217
X9bd20c6dd9e216eb9c62ab933e134da3	SampleType	Sample	2.14766768263819	0.437919329684478	17	12	0.000190758047422883	0.0112965985156771
cd595c4d4718f235de7afa8a4fb1d827	SampleType	Sample	1.90371918707847	0.390764219117521	17	17	0.000203233076733469	0.0117488073883063
X9695ab42557ea68383a7fa889b522976	SampleType	Sample	-1.93575934676921	0.402689244849369	17	7	0.000230662781512534	0.0130244007793589
c39fd6fc4661167fed13f8f1f43e9966	SampleType	Sample	2.49052153751458	0.529185813112305	17	8	0.000281191198395986	0.0155166415842148
X2d1a60b2982025a0959cff244436778b	SampleType	Sample	2.37400323945059	0.507847126609464	17	13	0.00029933389021096	0.016150726342938
c8487b182705eaad35c8578b81969d20	SampleType	Sample	-2.15654189184692	0.475809397133491	17	17	0.000396875510385952	0.0209481247655889
X54bc24af2573a5765ab4ee324d1d63be	SampleType	Sample	2.55551941615068	0.575179597014641	17	12	0.000474304972837812	0.0245023930648981
X93e881f05978d18bc8c18f476ac8dd3a	SampleType	Sample	-3.40631122477818	0.773157664512144	17	15	0.000511027725408552	0.0258494857769159
a630681ba72a80c92a426efb3e574ab2	SampleType	Sample	-2.01817331355968	0.46414145970968	17	17	0.000573496361326976	0.0284173299041204
X2a75921d722ef2e9c11a55f7655f5fb1	SampleType	Sample	2.21583801547217	0.528360774848702	17	17	0.000782648524545179	0.0380054123519139
X041792056bd7be0d5d925d8a6546e833	SampleType	Sample	-2.67091835135372	0.649503583779599	17	15	0.000923061367616664	0.0430998653956396
X6052c6018dc1a0fb3bccec096b0d74b8	SampleType	Sample	-2.83493719678577	0.68882815653099	17	7	0.000916819526626806	0.0430998653956396
b5de712b93a82e4723968c0839061699	SampleType	Sample	-2.35380902807423	0.581400209284874	17	12	0.00105045452356611	0.0472315478373797
X90d45b2e65bd23f17189e9455878f884	SampleType	Sample	-1.31568544136033	0.324912968659864	17	6	0.00104868628775921	0.0472315478373797
X67b0631399914fc300a8246571dd2fc0	SampleType	Sample	2.79449841407311	0.694028981564263	17	12	0.00109853816796669	0.0484954667604203
X4c5d68fe9f0b36f32638abc717a65ad3	SampleType	Sample	-3.04237412365877	0.757277858211618	17	8	0.00111875734319164	0.0485061219512376
b640a831f0c28e6d60ba3f6b278f38fa	SampleType	Sample	-1.18193653254568	0.297032304813871	17	17	0.00120955106370377	0.0515226312749608
X55357d6cc58549d420cccd3c467f8a16	SampleType	Sample	-2.59154977212593	0.655008945010485	17	9	0.0012666101370958	0.0529800080536655
fbb3aaf32c640635c86a7c829a85ed34	SampleType	Sample	1.47248385111856	0.37292089817606	17	7	0.00128740546753141	0.0529800080536655
X86ef25d804ba15d8439a773d51d3edda	SampleType	Sample	-1.31774684702523	0.334485719373132	17	6	0.00131094700197587	0.0530496553466237
bd668a93dee04617bc24da957aaee6e3	SampleType	Sample	2.881872156345	0.735409673481926	17	10	0.00136796871403758	0.0544496399620202
X6f22e76ddce23b52576bded16632b532	SampleType	Sample	2.43731401915805	0.625780659697519	17	16	0.00143627420411841	0.0553535518666586
a17fd0f8d4eee41ef864153c9c21b286	SampleType	Sample	-1.66293992084711	0.426503492236149	17	6	0.00142411158390042	0.0553535518666586
eeb0bf9b6e59d4d8ae7d6ae822a35d8a	SampleType	Sample	-2.06823223456094	0.540070844574171	17	7	0.00164103831097325	0.0622568909225475
b7279007573da839dc7d022d326a795c	SampleType	Sample	-2.35254316318052	0.62875533638511	17	17	0.00196448511134114	0.0695689273974985
X74f0d139f1d4ad74fb1be85bce6934a9	SampleType	Sample	-2.82903026251398	0.756733794227321	17	10	0.00197704118221886	0.0695689273974985
ac60ad741ae6189321c85d3ef49885d6	SampleType	Sample	2.11963568666187	0.566381821271709	17	11	0.00196116204237199	0.0695689273974985
e06d134d202f3e94fe4e3017d3664e11	SampleType	Sample	2.3287447430703	0.619799071895908	17	9	0.00190248706632341	0.0695689273974985
X6875688039d84275ed42ac41f5035aca	SampleType	Sample	-2.29595418956909	0.613032991573175	17	7	0.00194986432146951	0.0695689273974985
cfbc760bc9177688ef8445fd670910ac	SampleType	Sample	-1.58235524066148	0.427905472636871	17	6	0.00214827206919983	0.0745143512002456
X7399c5c473fce0dca57710a56022e6bb	SampleType	Sample	-1.97745057691085	0.53987064287962	17	6	0.00230837783746454	0.0789400195685057
ffedec13f25b2f7f21e150ddd69a539b	SampleType	Sample	-2.19024516238585	0.610497797159277	17	7	0.00269307750420447	0.0908165580584508
X7737a411e7f276fae1d2c38a6188f723	SampleType	Sample	-2.1010790822507	0.590173377321614	17	10	0.00284954565511229	0.0947766691864744
X5b11c2cd60e7d52df73e742888194fd8	SampleType	Sample	-2.05493790944701	0.580231287544151	17	7	0.00295989725060066	0.0971166287088974
dc59078827f8caef7ddfa5b9090e86c3	SampleType	Sample	-1.84941223837464	0.525382516513813	17	17	0.00309312604360327	0.100134800451583
f93c80f7ba93cb010f8e195429e296e5	SampleType	Sample	-2.33073301464305	0.672121691650857	17	14	0.0034442565438843	0.108409131871269
e53d40931998c5c89278f8b7d89112fa	SampleType	Sample	1.60194827742524	0.461852028292444	17	7	0.00343855951456372	0.108409131871269
fd92f4da74ea03ca0a951431ebf0149a	SampleType	Sample	-1.5979244460595	0.461518337686404	17	7	0.00348266568614457	0.108409131871269
X2b171e4c26f481ddc20506b79877b519	SampleType	Sample	-2.65450426057607	0.770227652012599	17	16	0.00359840690046379	0.110594075371216
da18bc80dccb72d316759572ebad4ccf	SampleType	Sample	-1.89300770641843	0.550763897054157	17	11	0.00366797226489572	0.111322958239585
X31f24c0e3e16424592a91c6b4756c393	SampleType	Sample	-1.70895021960429	0.499394081228248	17	16	0.00378271841580886	0.112338685146755
X45b0423d1013166f5e0436130e71527a	SampleType	Sample	-2.92508566507655	0.855138342719411	17	10	0.00379397536327592	0.112338685146755
X02ec9e816407b031507396c81c182019	SampleType	Sample	2.63829240760174	0.777578543322297	17	10	0.00401537466326101	0.114697996263503
X99adee39d4a68f7259d23b10d85c577f	SampleType	Sample	-2.06435286218906	0.607629248501355	17	14	0.00397904483410179	0.114697996263503
X0f067d3b0fcbcbb517d57a849a9928db	SampleType	Sample	1.28592858495243	0.378957717553906	17	6	0.00401232238038361	0.114697996263503
addff1327c8b525422a1a38bac47f59a	SampleType	Sample	-1.44101724829842	0.426224293837722	17	8	0.00411605705590233	0.116206820136405
c5e09db0eecbf5db9483cf3278206a7e	SampleType	Sample	-2.73081906003734	0.816300845325833	17	12	0.00442729368539497	0.122153057592489
X4c8e74f02805453642c1235e61de06ef	SampleType	Sample	2.3576646872695	0.704023254309871	17	9	0.00439574493291908	0.122153057592489
X8c1aa42e3f38caaf82eb47d5bd3ecab3	SampleType	Sample	-2.25912065406132	0.678839767548964	17	6	0.00458857244880957	0.12518038096303
X495c1bd1608a1dad54d3e2824ce899ef	SampleType	Sample	-1.93456706172646	0.588355016846676	17	16	0.00497896703156783	0.134321466140519
dcb71cc699d841c3ef3a379f802904e6	SampleType	Sample	1.08668166986822	0.332771950605881	17	6	0.00521451853859465	0.135896611701394
e42e54374ced0e0901b3492bf7e26fd9	SampleType	Sample	-1.0199971741389	0.312768137791678	17	5	0.00526123620260752	0.135896611701394
d31f1c384392a34edcfb997bda7c234a	SampleType	Sample	-1.22824518759409	0.375497155116694	17	5	0.00515670695159514	0.135896611701394
X983e197471ad3483cbf7561c9cc9b4fa	SampleType	Sample	-1.47441903761069	0.450736506491926	17	5	0.0051551328814998	0.135896611701394
X56335ac95e507e0bbb08dc360850bfe5	SampleType	Sample	1.96581763542526	0.608660796499721	17	16	0.00561143143017571	0.137811077080833
be67b02f02948b2fce8ad5af987afdb4	SampleType	Sample	2.62608565758617	0.813800258745777	17	7	0.00564372214264407	0.137811077080833
X8940efad20d6105be9d06b29420046f8	SampleType	Sample	-1.68586036356591	0.523671872556243	17	8	0.00573266836291767	0.137811077080833
X68e97f8c00f3cf84de842890290838fe	SampleType	Sample	-1.81101552883965	0.561917404358935	17	17	0.00569038561785751	0.137811077080833
X0dd15502ce697238545269d117d510d2	SampleType	Sample	-2.21555887848915	0.685845440180976	17	10	0.00560381550590329	0.137811077080833
X4f5d5c70f37db3c66d86b59a75e416ee	SampleType	Sample	-2.39576503055542	0.742277829347484	17	6	0.00563628176050905	0.137811077080833
e2f0bac1ec09a88649e2789aa212b782	SampleType	Sample	1.62695189002359	0.501390502045794	17	7	0.00544008265247209	0.137811077080833
X82c31a86b5c777f9decb3e08c1b59b58	SampleType	Sample	-2.14003017579351	0.669122427273542	17	9	0.00598508264805602	0.139728660283462
X7ae3ca18d2f3f7b1df4b5e8030049437	SampleType	Sample	-1.07497615486756	0.335628497463563	17	5	0.00592884523754164	0.139728660283462
X4b9f9723551325d3ff2ee04cfe1700eb	SampleType	Sample	1.42753327979154	0.445098409544535	17	6	0.00587620479558587	0.139728660283462
d23c235f41d3398df2e2f5edbac63604	SampleType	Sample	-1.758017523125	0.555849710968348	17	16	0.00643619850397924	0.14681647998259
a3512dec19c020cc96c0e195ac468aac	SampleType	Sample	-1.82708693020223	0.578376295590896	17	8	0.00648594240058713	0.14681647998259
ae80f6274f1e55721cc5be8fc0a0e271	SampleType	Sample	-0.999821155408769	0.317648593647968	17	5	0.00663927412362249	0.14681647998259
X9edbb39537860983ef807fee6c2635c5	SampleType	Sample	-2.93179718037676	0.931713863165172	17	6	0.00665148797285208	0.14681647998259
X1667a608ce9dcd9173cc4a7ea408e61a	SampleType	Sample	-1.14184355818599	0.361464082589912	17	5	0.00648664395144656	0.14681647998259
X1b21d2b71f96b4a59b392aee9aa1d655	SampleType	Sample	-2.458989148723	0.781408979623804	17	7	0.00664884218458325	0.14681647998259
ffcf4ed82045665508e925b0f4531d28	SampleType	Sample	1.88114741854179	0.606122089124484	17	13	0.00726393797224005	0.155522889519821
X5fbd78d2d6de66b97eaf8f2b1487761e	SampleType	Sample	-2.11460581652542	0.681310744157683	17	13	0.00726166198736269	0.155522889519821
fd573b99b95e615dd1288c05055c86fe	SampleType	Sample	-1.03180751175172	0.333639819234089	17	5	0.00742898266873283	0.155522889519821
X55e845ec2b2dde77fc20c136d78ee7ad	SampleType	Sample	-1.05069692088228	0.339756999263598	17	5	0.00743025337079871	0.155522889519821
X25c2a523e62ce2efdbcf4f66f8ec1697	SampleType	Sample	-1.35240134010047	0.435803410813094	17	6	0.00726900329352507	0.155522889519821
a24d222dbc42aaf0f1b7f08d66ac41b8	SampleType	Sample	1.40777655600845	0.454132517167993	17	6	0.00731835782414137	0.155522889519821
b214782a3adc6746dd9982ea97ad27b4	SampleType	Sample	4.35059172666546	1.40953739205836	17	14	0.00752118524655252	0.156080664774611
X72355d57027d23aca5dc5c7619a2cd96	SampleType	Sample	-2.39357525919947	0.78694170842016	17	5	0.00824319766091447	0.16961427051441
X398b27b58cd45cd00d44f536a9411b08	SampleType	Sample	1.68394673374478	0.555417137618382	17	9	0.00840882512506263	0.171568297509681
ad84d18a785105a88de19e3f9062680a	SampleType	Sample	-1.30750610458264	0.432795934399298	17	8	0.008595812375402	0.1739219370623
X68fb4f4c2c976da006edc8e3fa0280eb	SampleType	Sample	-1.24430615133624	0.412824802445771	17	5	0.00871825552127746	0.174941524013733
X7fc232ef701a576c52973c27d641a62b	SampleType	Sample	-2.44083396829687	0.811800543564355	17	7	0.00885129203065019	0.176155221724743
