"Species","ASV","BestName","log2FC","FDR_q_value","Mean_abund_host"
"Aquiloniella_scabra","c99293daaa3f4b14f0ece7cabc5e88fe","Genus: Cm1-21",-4.236,0.04821,0.0762621530601653
"Aquiloniella_scabra","c99293daaa3f4b14f0ece7cabc5e88fe","Genus: Cm1-21",-4.236,0.04821,0.0762621530601653
"Aquiloniella_scabra","c99293daaa3f4b14f0ece7cabc5e88fe","Genus: Cm1-21",-4.236,0.04821,0.0762621530601653
"Aquiloniella_scabra","c99293daaa3f4b14f0ece7cabc5e88fe","Genus: Cm1-21",-4.236,0.04821,0.0762621530601653
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Genus: Pseudohongiella",-4.03,4.11e-06,0.0122565046728526
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Genus: Pseudohongiella",-4.03,4.11e-06,0.0122565046728526
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Genus: Pseudohongiella",-4.03,4.11e-06,0.0122565046728526
"Aquiloniella_scabra","badeae06f9f02ed7567ab02f37fc1612","Genus: Pseudohongiella",-4.03,4.11e-06,0.0122565046728526
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Family: Saprospiraceae",-3.838,0.005329,0.0156590896305611
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Family: Saprospiraceae",-3.838,0.005329,0.0156590896305611
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Family: Saprospiraceae",-3.838,0.005329,0.0156590896305611
"Aquiloniella_scabra","b6b5e5683e22e7ccbc945f50aa1bfb52","Family: Saprospiraceae",-3.838,0.005329,0.0156590896305611
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Genus: Woeseia",-3.572,4.668e-05,0.0314220171677622
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Genus: Woeseia",-3.572,4.668e-05,0.0314220171677622
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Genus: Woeseia",-3.572,4.668e-05,0.0314220171677622
"Aquiloniella_scabra","a7c0e5b81d8f91d217059d6d45bb4a9c","Genus: Woeseia",-3.572,4.668e-05,0.0314220171677622
"Aquiloniella_scabra","9c7f57129ddb57343abd55a3fa67f442","Genus: Sva0996_marine_group",-3.357,0.016,0.000686899285109569
"Aquiloniella_scabra","9c7f57129ddb57343abd55a3fa67f442","Genus: Sva0996_marine_group",-3.357,0.016,0.000686899285109569
"Aquiloniella_scabra","5d0f35ba3e7d0ebce9788d34229f1ade","Genus: Magnetospira",-3.215,0.001686,0
"Aquiloniella_scabra","5d0f35ba3e7d0ebce9788d34229f1ade","Genus: Magnetospira",-3.215,0.001686,0
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Genus: Fulvivirga",-3.171,0.001406,0.0111595979001917
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Genus: Fulvivirga",-3.171,0.001406,0.0111595979001917
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Genus: Fulvivirga",-3.171,0.001406,0.0111595979001917
"Aquiloniella_scabra","d23c235f41d3398df2e2f5edbac63604","Genus: Fulvivirga",-3.171,0.001406,0.0111595979001917
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Genus: BD7-8",-2.941,0.01416,0.0844115747846255
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Genus: BD7-8",-2.941,0.01416,0.0844115747846255
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Genus: BD7-8",-2.941,0.01416,0.0844115747846255
"Aquiloniella_scabra","ad7cea3f47c9e64cbe5f5544c27fb1c5","Genus: BD7-8",-2.941,0.01416,0.0844115747846255
"Aquiloniella_scabra","93b8f4990bcff13031bb21d0feba9ef1","Family: Cyclobacteriaceae",-2.759,0.0241,0
"Aquiloniella_scabra","93b8f4990bcff13031bb21d0feba9ef1","Family: Cyclobacteriaceae",-2.759,0.0241,0
