"Species","ASV","BestName","log2FC","FDR_q_value","Mean_abund_host"
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Genus: Candidatus_Endobugula",8.056,4.668e-05,14.5803688444955
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Genus: Candidatus_Endobugula",8.056,4.668e-05,14.5803688444955
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Class: Alphaproteobacteria",4.121,0.0158,0.0738321275665753
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Class: Alphaproteobacteria",4.121,0.0158,0.0738321275665753
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Genus: Flavicella",3.812,0.000449,0.128925883727494
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Genus: Flavicella",3.812,0.000449,0.128925883727494
"Aquiloniella_scabra","87840ae42f96525d12342d1c69d1461c","Family: Rhodobacteraceae",3.4,0.01644,0.249701996958119
"Aquiloniella_scabra","87840ae42f96525d12342d1c69d1461c","Family: Rhodobacteraceae",3.4,0.01644,0.249701996958119
"Aquiloniella_scabra","9c872286b28ea46be348ce877c3c656d","Genus: Sphingorhabdus",3.06,0.016,0.809670268510119
"Aquiloniella_scabra","9c872286b28ea46be348ce877c3c656d","Genus: Sphingorhabdus",3.06,0.016,0.809670268510119
"Patinella_verrucaria","1a04461b51bc23b48c24529fbdb95d2b","Genus: Sulfitobacter",8.278,5.087e-07,21.3572601974852
"Patinella_verrucaria","1a04461b51bc23b48c24529fbdb95d2b","Genus: Sulfitobacter",8.278,5.087e-07,21.3572601974852
"Patinella_verrucaria","a634a2821a34209d91ff6a23afaf0749","Genus: Yoonia-Loktanella",7.303,9.572e-09,6.83077228854631
"Patinella_verrucaria","a634a2821a34209d91ff6a23afaf0749","Genus: Yoonia-Loktanella",7.303,9.572e-09,6.83077228854631
"Patinella_verrucaria","a634a2821a34209d91ff6a23afaf0749","Genus: Yoonia-Loktanella",7.303,9.572e-09,6.83077228854631
"Patinella_verrucaria","a634a2821a34209d91ff6a23afaf0749","Genus: Yoonia-Loktanella",7.303,9.572e-09,6.83077228854631
"Patinella_verrucaria","db30bfa14b0cd36a31d9d1bd5aae464f","Genus: Anderseniella",5.902,4.516e-07,0.347905638355933
"Patinella_verrucaria","db30bfa14b0cd36a31d9d1bd5aae464f","Genus: Anderseniella",5.902,4.516e-07,0.347905638355933
"Patinella_verrucaria","db30bfa14b0cd36a31d9d1bd5aae464f","Genus: Anderseniella",5.902,4.516e-07,0.347905638355933
"Patinella_verrucaria","db30bfa14b0cd36a31d9d1bd5aae464f","Genus: Anderseniella",5.902,4.516e-07,0.347905638355933
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Class: Alphaproteobacteria",5.693,0.0002423,0.248917187003202
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Class: Alphaproteobacteria",5.693,0.0002423,0.248917187003202
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Class: Alphaproteobacteria",5.693,0.0002423,0.248917187003202
"Patinella_verrucaria","a30387bf30a75f6ab45d6e8ba3082804","Class: Alphaproteobacteria",5.693,0.0002423,0.248917187003202
"Patinella_verrucaria","bbaa49db59da4b9d9c05ca4a337866f3","Family: Rhodobacteraceae",5.332,0.03697,4.70970726427707
"Patinella_verrucaria","bbaa49db59da4b9d9c05ca4a337866f3","Family: Rhodobacteraceae",5.332,0.03697,4.70970726427707
"Patinella_verrucaria","bbaa49db59da4b9d9c05ca4a337866f3","Family: Rhodobacteraceae",5.332,0.03697,4.70970726427707
"Patinella_verrucaria","bbaa49db59da4b9d9c05ca4a337866f3","Family: Rhodobacteraceae",5.332,0.03697,4.70970726427707
"Patinella_verrucaria","54b2938845517c66a88daab1b15b06a8","Family: Devosiaceae",4.949,0.03382,0.493972125420102
"Patinella_verrucaria","54b2938845517c66a88daab1b15b06a8","Family: Devosiaceae",4.949,0.03382,0.493972125420102
"Patinella_verrucaria","c400bb9ef12cb34392453dd557713e2b","Genus: Blastopirellula",4.246,0.0003152,0.331445305543103
"Patinella_verrucaria","c400bb9ef12cb34392453dd557713e2b","Genus: Blastopirellula",4.246,0.0003152,0.331445305543103
"Patinella_verrucaria","c400bb9ef12cb34392453dd557713e2b","Genus: Blastopirellula",4.246,0.0003152,0.331445305543103
