"Species","ASV","Kingdom","Phylum","Class","Order","Family","Genus","log2FC","p_value","FDR_q_value","Direction","BestName","Mean_abund_host","Mean_count_host.x","Abundance_rank.x","Mean_count_host.y","Abundance_rank.y"
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Candidatus_Endobugula",8.056,4.005e-08,4.668e-05,"Enriched in Sample","Genus: Candidatus_Endobugula",14.5803688444955,8858.77777777778,1,8858.77777777778,1
"Aquiloniella_scabra","9be493e9aea5ea556ea35a3ff8fc61c8","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Candidatus_Endobugula",8.056,4.005e-08,4.668e-05,"Enriched in Sample","Genus: Candidatus_Endobugula",14.5803688444955,8858.77777777778,1,8858.77777777778,1
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,4.121,8.134e-05,0.0158,"Enriched in Sample","Class: Alphaproteobacteria",0.0738321275665753,43,127,43,127
"Aquiloniella_scabra","450b0f9dbaf395de258b2b6c62a5f5aa","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,4.121,8.134e-05,0.0158,"Enriched in Sample","Class: Alphaproteobacteria",0.0738321275665753,43,127,43,127
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavicella",3.812,5.136e-07,0.000449,"Enriched in Sample","Genus: Flavicella",0.128925883727494,81.3333333333333,81,81.3333333333333,81
"Aquiloniella_scabra","417b908efc21728c97947e2319527752","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavicella",3.812,5.136e-07,0.000449,"Enriched in Sample","Genus: Flavicella",0.128925883727494,81.3333333333333,81,81.3333333333333,81
"Aquiloniella_scabra","87840ae42f96525d12342d1c69d1461c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,3.4,0.0001034,0.01644,"Enriched in Sample","Family: Rhodobacteraceae",0.249701996958119,123.444444444444,64,123.444444444444,64
"Aquiloniella_scabra","87840ae42f96525d12342d1c69d1461c","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,3.4,0.0001034,0.01644,"Enriched in Sample","Family: Rhodobacteraceae",0.249701996958119,123.444444444444,64,123.444444444444,64
"Aquiloniella_scabra","9c872286b28ea46be348ce877c3c656d","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",3.06,9.19e-05,0.016,"Enriched in Sample","Genus: Sphingorhabdus",0.809670268510119,414.222222222222,21,414.222222222222,21
"Aquiloniella_scabra","9c872286b28ea46be348ce877c3c656d","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",3.06,9.19e-05,0.016,"Enriched in Sample","Genus: Sphingorhabdus",0.809670268510119,414.222222222222,21,414.222222222222,21
